C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.32735,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200907,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.249541,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200908,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.191597,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200909,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.257496,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200910,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.276994,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200911,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.174519,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200912,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.228149,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201001,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.233733,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201002,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.152971,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201003,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.3003,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201004,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.346969,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201005,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.300611,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201006,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.307918,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201007,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.319774,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201008,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.229421,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201009,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.221407,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201010,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.207153,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201011,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.121249,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201012,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.108296,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201101,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.183659,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201102,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.088584,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201103,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.251561,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201104,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.280357,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201105,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.301738,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201106,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.312948,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,201107,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
